Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
23,20,Canena,1.539,1.214,21,4
23,21,Carboneros,514,378,11,0
23,901,Cárcheles,1.138,829,14,9
23,25,Castellar,2.743,1.744,26,17
23,26,Castillo de Locubín,3.441,2.248,79,16
23,27,Cazalilla,726,529,4,6
23,28,Cazorla,6.140,3.855,79,37
23,29,Chiclana de Segura,803,502,9,1
23,30,Chilluévar,1.196,889,22,3
23,31,Escañuela,763,612,40,6
23,32,Espeluy,522,371,14,3
23,33,Frailes,1.319,909,24,20
23,34,Fuensanta de Martos,2.505,1.699,39,12
23,35,Fuerte del Rey,1.102,776,13,4
23,37,Génave,516,390,12,5
23,39,Guarromán,2.154,1.357,49,9
23,41,Higuera de Calatrava,493,350,3,2
23,42,Hinojares,281,196,2,2
23,43,Hornos,522,347,3,0
23,44,Huelma,4.714,3.175,95,25
23,45,Huesa,2.067,1.323,17,4
23,46,Ibros,2.335,1.742,35,8
23,48,Iznatoraf,823,550,5,2
23,49,Jabalquinto,1.745,1.099,38,14
23,50,Jaén,90.504,56.585,965,826
23,51,Jamilena,2.736,1.840,35,12
23,52,Jimena,1.111,876,21,5
23,53,Jódar,9.464,5.280,68,47
23,24,La Carolina,12.192,8.101,336,95
23,38,La Guardia de Jaén,3.718,2.455,51,23
23,47,La Iruela,1.597,1.069,9,10
23,72,La Puerta de Segura,1.904,1.257,24,12
23,40,Lahiguera,1.459,1.088,25,2
23,54,Larva,380,263,7,1
23,55,Linares,46.365,27.454,1.458,410
23,56,Lopera,3.050,2.025,85,21
23,99,Los Villares,4.792,3.015,88,37
23,57,Lupión,737,540,8,4
23,58,Mancha Real,8.797,5.597,110,78
23,59,Marmolejo,5.720,3.922,126,56
23,60,Martos,19.162,11.791,244,179
23,61,Mengíbar,7.674,4.478,146,51
23,62,Montizón,1.412,1.023,14,8
23,63,Navas de San Juan,3.763,2.354,56,28
23,64,Noalejo,1.674,1.263,17,7
23,65,Orcera,1.555,981,19,6
23,66,Peal de Becerro,4.303,3.135,77,24
23,67,Pegalajar,2.431,1.604,52,10
23,69,Porcuna,5.291,3.902,119,27
23,70,Pozo Alcón,3.793,1.961,24,9
23,71,Puente de Génave,1.717,1.137,21,9
23,73,Quesada,4.403,2.816,48,24
23,74,Rus,2.963,2.016,30,21
23,75,Sabiote,3.217,2.219,43,26
23,76,Santa Elena,772,582,9,3
23,77,Santiago de Calatrava,604,477,7,1
23,904,Santiago-Pontones,2.624,1.377,27,9
23,79,Santisteban del Puerto,3.650,2.456,55,35
23,80,Santo Tomé,1.719,1.125,24,7
23,81,Segura de la Sierra,1.475,970,24,11
23,82,Siles,1.873,1.200,14,11
23,84,Sorihuela del Guadalimar,903,557,15,2
23,85,Torreblascopedro,2.178,1.463,21,14
23,86,Torredelcampo,11.431,6.710,236,122
23,87,Torredonjimeno,11.180,7.275,199,106
23,88,Torreperogil,6.001,3.823,117,73
23,90,Torres,1.230,916,19,5
23,91,Torres de Albánchez,683,440,3,2
